date,predicted_demand_teu,confidence_interval_lower,confidence_interval_upper,week
2025-08-30 15:59:50.118303,9245.6,7396.4800000000005,11094.72,35
2025-08-31 15:59:50.118303,9968.450115430642,7974.760092344513,11962.14013851677,35
2025-09-01 15:59:50.118303,10146.979350486828,8117.583480389463,12176.375220584194,36
2025-09-02 15:59:50.118303,9646.75154983853,7717.401239870824,11576.101859806235,36
2025-09-03 15:59:50.118303,8844.448450161472,7075.558760129177,10613.338140193766,36
2025-09-04 15:59:50.118303,8344.220649513174,6675.37651961054,10013.064779415809,36
2025-09-05 15:59:50.118303,8522.749884569359,6818.199907655488,10227.29986148323,36
2025-09-06 15:59:50.118303,9245.6,7396.4800000000005,11094.72,36
2025-09-07 15:59:50.118303,9968.450115430642,7974.760092344513,11962.14013851677,36
2025-09-08 15:59:50.118303,10146.979350486828,8117.583480389463,12176.375220584194,37
2025-09-09 15:59:50.118303,9646.75154983853,7717.401239870824,11576.101859806235,37
2025-09-10 15:59:50.118303,8844.448450161472,7075.558760129177,10613.338140193766,37
2025-09-11 15:59:50.118303,8344.220649513174,6675.37651961054,10013.064779415809,37
2025-09-12 15:59:50.118303,8522.749884569359,6818.199907655488,10227.29986148323,37
